sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10
0.45162365,0.41873845,0.36905316,0.6323457,0.3695121,0.531392,0.62542766,0.54382086,0.4589423,0.5871043
0.46887082,0.39226317,0.4509853,0.5724516,0.429183,0.51250136,0.5940361,0.48330092,0.4970131,0.6227776
0.5203821,0.48759633,0.57851183,0.4719188,0.5680548,0.46847203,0.50834376,0.41859126,0.5502679,0.5785842
0.5486008,0.5986443,0.6448392,0.39983666,0.6426653,0.44104365,0.42005646,0.38091442,0.5741234,0.47309232
0.5230205,0.6348662,0.632915,0.39571846,0.6181228,0.46883717,0.39307258,0.3855564,0.54860514,0.42067644
0.47796923,0.6079163,0.55553406,0.44491383,0.4811458,0.5400686,0.42240518,0.4433168,0.47421488,0.49300188
0.48390466,0.5225212,0.4650292,0.5164343,0.38157365,0.5952744,0.49242058,0.5536801,0.40376613,0.60735875
0.55262744,0.41491815,0.44546807,0.5702094,0.42980897,0.5985034,0.5526722,0.634743,0.4067067,0.6480493
0.60845906,0.36190224,0.48459017,0.5957003,0.5654515,0.53340834,0.56737745,0.64219415,0.49529994,0.6119921
0.6117284,0.37011638,0.5151747,0.60895944,0.6328637,0.42086187,0.5401739,0.5525793,0.59849113,0.51030904
0.55504143,0.42301694,0.49799275,0.6118692,0.610329,0.3653532,0.4968316,0.3997683,0.63398933,0.45085606
0.44857666,0.50497884,0.4532524,0.58757603,0.516723,0.38265744,0.48590353,0.3583424,0.6032823,0.4988757
0.37000284,0.57431453,0.44099173,0.5279428,0.43244275,0.46174997,0.5372257,0.44918415,0.5253264,0.5681436
0.3535323,0.588373,0.4760274,0.44257462,0.43100318,0.57769525,0.6109033,0.597218,0.45309794,0.5791159
0.3811239,0.52512884,0.52389055,0.3850811,0.48420423,0.6475372,0.64320785,0.65631586,0.4376652,0.51656955
0.46181658,0.41344184,0.5507341,0.38207293,0.5436111,0.6495931,0.62616336,0.61660814,0.4829001,0.41385698
0.58918124,0.37127104,0.5417194,0.43325818,0.5765146,0.5987137,0.55939454,0.4784849,0.55075,0.37114924
0.66366607,0.4359309,0.515538,0.53274703,0.5648599,0.53073955,0.45742545,0.3751891,0.5876666,0.41726425
0.6635801,0.59244365,0.5222933,0.61002237,0.4978591,0.49151668,0.39468428,0.38846913,0.5759285,0.5294954
0.5815741,0.67619985,0.5686988,0.6239,0.4256568,0.47476307,0.41020074,0.5114148,0.50852215,0.6134429
0.44011894,0.68000317,0.60995674,0.5887767,0.40404266,0.4530086,0.47470313,0.6251906,0.42565948,0.6206525
0.41525298,0.62519455,0.614557,0.5403801,0.44285727,0.4346528,0.53758186,0.654741,0.40399337,0.5640829
0.5233053,0.51230544,0.5807697,0.52309686,0.5214327,0.44601747,0.57073456,0.6186325,0.46081704,0.46522775
0.6139605,0.42102423,0.52230036,0.53652793,0.59161496,0.5195826,0.5691721,0.5093315,0.56096995,0.40350476
0.6132847,0.4162745,0.4513545,0.54004663,0.61865926,0.6039727,0.5249207,0.38820884,0.61580014,0.4135178
0.5117897,0.454841,0.40377554,0.5139131,0.59028244,0.6299679,0.4504401,0.35585183,0.6018896,0.48221913
0.40380114,0.47151107,0.39619318,0.45842686,0.49584377,0.5944525,0.41657513,0.40983194,0.53051984,0.5678529
0.40532497,0.44969648,0.42012343,0.40605894,0.4185083,0.514768,0.46215856,0.529615,0.44801676,0.6037778
0.5136246,0.44612622,0.48298898,0.398066,0.43954214,0.45242426,0.56417483,0.61910963,0.41058347,0.5808749
0.6078263,0.50802463,0.5646289,0.4552961,0.5269863,0.45581704,0.631783,0.6300779,0.42934263,0.52480537
0.61614275,0.59705144,0.60240924,0.5623332,0.5895208,0.5119853,0.6436293,0.5661602,0.47612825,0.47795743
0.5492716,0.6360472,0.57755834,0.63044095,0.58481747,0.5580238,0.61468285,0.45768586,0.5227518,0.48657686
0.44898447,0.622747,0.49512765,0.63466966,0.50779617,0.5432998,0.5507179,0.41456977,0.55586606,0.5403927
0.40483594,0.5594346,0.43211153,0.586168,0.41464368,0.4867378,0.4741854,0.46577838,0.5673978,0.582119
0.44960183,0.46525946,0.4708683,0.48199755,0.3959535,0.45393088,0.41547102,0.5520936,0.5536267,0.58563423
0.5471084,0.40848556,0.57427686,0.39595315,0.4744726,0.47482342,0.38359582,0.5928218,0.52234197,0.55924743
0.60080975,0.41006204,0.63173294,0.38496357,0.59906554,0.5198848,0.38368204,0.56683147,0.49356675,0.49910772
0.57380545,0.45382723,0.6129619,0.4375741,0.6528827,0.55753946,0.43023512,0.46385527,0.48340955,0.42028618
0.49519408,0.5255352,0.4992926,0.51333344,0.6332912,0.57734317,0.54651177,0.36649403,0.48644575,0.37044418
0.46408564,0.59378535,0.3748584,0.56814224,0.55276954,0.57483184,0.6349935,0.34532276,0.4934987,0.37478903
0.5129532,0.61568457,0.35525793,0.5755998,0.46734262,0.55410594,0.648343,0.3930384,0.49610627,0.44287893
0.5627173,0.58509034,0.4307562,0.5484015,0.46718568,0.5108512,0.5981755,0.5377639,0.4751239,0.57166106
0.5459565,0.5256755,0.564406,0.5239016,0.5288912,0.45457962,0.4818179,0.6572463,0.43037432,0.65131485
0.48188037,0.47186372,0.6372765,0.514806,0.56357497,0.42067197,0.39019844,0.68449545,0.4119692,0.6581875
0.4535597,0.4585915,0.63153297,0.5056998,0.5338063,0.41804254,0.39440453,0.6434519,0.4682983,0.5894399
0.49005008,0.48776275,0.5627325,0.4900542,0.4549161,0.43632433,0.4707172,0.52522635,0.5974018,0.43361345
0.5420334,0.53446555,0.4764863,0.4776623,0.40050942,0.47325906,0.54289305,0.42122212,0.66678566,0.35393736
0.5567119,0.5598072,0.45309678,0.48152608,0.4080135,0.53968257,0.5435752,0.41954115,0.6611369,0.388038
0.5103887,0.5306339,0.5109173,0.4901287,0.45784554,0.61691415,0.4714321,0.4857383,0.58758724,0.51027215
0.4382629,0.44199705,0.5790859,0.47683463,0.5004802,0.65018463,0.40202305,0.5575968,0.45770773,0.6071103
0.40851483,0.38724908,0.5990567,0.45657727,0.5140855,0.6357977,0.3962004,0.58916473,0.3862669,0.6048303
0.4438165,0.41566613,0.555671,0.4626139,0.50598705,0.5873024,0.47018084,0.5726693,0.41150048,0.51834965
0.5363973,0.52866435,0.4630969,0.5223399,0.51589465,0.5343702,0.5811742,0.5206444,0.49411252,0.44753557
0.61377084,0.6230862,0.3994038,0.60011595,0.56671804,0.49181932,0.6410032,0.46150458,0.56818175,0.47987518
0.625096,0.63590384,0.41180438,0.63150096,0.6164577,0.4493514,0.62392455,0.43073422,0.5868599,0.564152
0.56394076,0.57332045,0.48775002,0.61512995,0.6184662,0.4142245,0.5093926,0.42215738,0.56899583,0.6005548
0.46160567,0.47673655,0.56846803,0.56793123,0.54950434,0.4079199,0.40862706,0.4187672,0.55452985,0.5547342
0.4303013,0.4485296,0.5924746,0.5004043,0.445075,0.44500676,0.4382186,0.43637192,0.55136377,0.43640274
0.51689595,0.5142419,0.5297842,0.43291575,0.4228461,0.52927566,0.5641083,0.507124,0.53879154,0.37900123
0.6117972,0.5861028,0.40339237,0.4098162,0.49148798,0.60569644,0.6377375,0.6076802,0.49810275,0.4267809
0.6368931,0.5997843,0.35500443,0.4448206,0.55700976,0.62940186,0.6229562,0.6582809,0.44133097,0.54708916
0.59687865,0.5579131,0.40036994,0.52780974,0.54383445,0.61013615,0.51823384,0.6571376,0.41271016,0.62869495
0.50761014,0.49606267,0.5505068,0.59794724,0.46586296,0.5553401,0.40626144,0.6200304,0.42517948,0.62889063
0.424994,0.45916876,0.65509826,0.6158428,0.42051163,0.46239266,0.41117027,0.5572502,0.47256443,0.5472785
0.40194082,0.4431868,0.6667396,0.59975374,0.45671532,0.38521338,0.51628613,0.4868873,0.52355695,0.4316145
0.44111285,0.42402872,0.60578954,0.5753853,0.5611776,0.3721748,0.60425264,0.43928498,0.53311366,0.40013024
0.5128137,0.41071555,0.47836936,0.55497736,0.632638,0.42027247,0.6075949,0.42686933,0.49674445,0.465904
0.5677056,0.43899086,0.38667145,0.5305636,0.63126504,0.5196377,0.5202734,0.43726304,0.46522263,0.5776297
0.5771793,0.5313464,0.39039788,0.48557252,0.5491424,0.590805,0.40979242,0.44763476,0.50018156,0.6334474
0.55159247,0.61792487,0.47614935,0.42211685,0.43646568,0.58880585,0.3874992,0.44431823,0.5900778,0.6204653
0.5138198,0.6367736,0.5786768,0.3736013,0.40465298,0.51211214,0.45262793,0.44912705,0.64307535,0.55608904
0.4707608,0.5791575,0.616875,0.36026236,0.4607399,0.437282,0.54886156,0.487835,0.63819504,0.46476218
0.42635188,0.4562792,0.569654,0.38257906,0.5498535,0.44052732,0.5867722,0.5471084,0.58409387,0.4145688
0.40430784,0.37790757,0.45969492,0.44804263,0.59423685,0.5154065,0.5228725,0.5892983,0.5120669,0.43727672
0.43052912,0.39235765,0.40673798,0.57188755,0.5829128,0.5910656,0.4048808,0.5962621,0.49682596,0.48889828
0.53337955,0.49684134,0.45666003,0.65597016,0.54138273,0.6119562,0.3778246,0.5845114,0.5356214,0.52049726
0.6296718,0.6066948,0.5415656,0.66628,0.51267207,0.5797528,0.480259,0.5656772,0.5649118,0.5033633
0.6511575,0.6370636,0.566786,0.6023129,0.51857823,0.5212628,0.62162405,0.54990023,0.5355018,0.46088183
0.60219204,0.60272115,0.4997348,0.45651346,0.5392858,0.46843132,0.6697503,0.5365004,0.45090553,0.46066436
0.48741207,0.5409042,0.42213675,0.3811802,0.5387554,0.44652513,0.6408295,0.5094788,0.37814355,0.529565
0.4105593,0.5004863,0.4396427,0.4396735,0.49051204,0.44611162,0.55344975,0.47227415,0.3668487,0.6078276
0.4440704,0.48922786,0.55343425,0.5670652,0.4077935,0.4428008,0.46280548,0.4688308,0.4240562,0.62732935
0.53496486,0.47921747,0.63528645,0.6303507,0.36878735,0.43924457,0.4341194,0.5214962,0.55441076,0.5744526
0.59227854,0.46129638,0.63723016,0.6095116,0.38870025,0.4681234,0.46252394,0.57538974,0.6420014,0.4640281
0.59162265,0.45107555,0.54341483,0.5132263,0.46422213,0.53355485,0.49122182,0.5768113,0.64387107,0.4061034
0.53569984,0.45179906,0.396311,0.41898745,0.57359374,0.60216874,0.4835849,0.5190566,0.5673153,0.4520542
0.45388877,0.45936096,0.3564482,0.4017942,0.645205,0.63378674,0.4548196,0.4531241,0.45182687,0.55452055
0.41934177,0.45735025,0.43219396,0.44067734,0.6558878,0.61878866,0.4652913,0.45157796,0.4164128,0.610261
0.44026336,0.43886057,0.5839063,0.49139076,0.62371373,0.5378792,0.54178727,0.5179067,0.49088004,0.5898255
0.4897747,0.4458536,0.6603331,0.5179092,0.5587792,0.40866107,0.6132094,0.5869647,0.5900281,0.49892682
0.53020823,0.52401763,0.65962994,0.511242,0.46920684,0.3576368,0.6265761,0.6052912,0.624847,0.4029036
0.52666986,0.6312101,0.60756516,0.49826086,0.39978263,0.3974919,0.5666713,0.5749958,0.59693015,0.3845605
0.48405108,0.6760982,0.5129497,0.5220654,0.39608502,0.5385463,0.4386543,0.5160021,0.52658206,0.44350582
0.45970485,0.6570896,0.44051817,0.58241147,0.458828,0.64999443,0.36945656,0.48506656,0.44534105,0.55142194
0.49130476,0.5489934,0.4336093,0.62076443,0.5630907,0.6701777,0.39732277,0.4998106,0.39326686,0.623162
0.554744,0.40542674,0.46880546,0.6123638,0.6306809,0.60924613,0.50436014,0.53175545,0.37839422,0.6289397
0.60090166,0.37610584,0.49205902,0.5534147,0.6366277,0.4721459,0.60643935,0.55284953,0.40005946,0.5906791
0.5987729,0.4553151,0.47881594,0.45004654,0.5941485,0.40233162,0.6352187,0.53682864,0.4631794,0.5288122
0.542956,0.5729084,0.444761,0.37482944,0.5210982,0.45466858,0.5827658,0.47544864,0.55919945,0.47025
0.4672958,0.6289969,0.42111573,0.36298522,0.4557641,0.54782325,0.45512685,0.41294828,0.62824094,0.4494658
0.44373006,0.6107296,0.4366865,0.40390182,0.42406136,0.5823133,0.37393296,0.39514112,0.6443215,0.49105662
0.47503576,0.5196023,0.52181256,0.5031754,0.42282516,0.52228475,0.39352423,0.42034873,0.6219679,0.5600086
0.5057366,0.40228125,0.6185656,0.613692,0.44084474,0.41382402,0.5164479,0.47916645,0.5757659,0.59862316
0.5023937,0.36165208,0.6504915,0.6571449,0.47917843,0.38183558,0.6325018,0.5607822,0.5063303,0.58328444
0.4934853,0.407074,0.6187271,0.6288822,0.5445305,0.44034424,0.6583833,0.61789316,0.42645544,0.50748587
0.5221719,0.53896815,0.5289063,0.5107931,0.6058957,0.5591023,0.6138492,0.62387335,0.37996134,0.4138123
0.5755013,0.6414109,0.42910022,0.38894442,0.6320102,0.6313468,0.5326416,0.57050794,0.39400384,0.38573053
0.607489,0.6596956,0.40996784,0.38296485,0.62169796,0.62242186,0.4822855,0.47104177,0.47926462,0.43526644
0.59902334,0.6010248,0.48296785,0.49690878,0.5911347,0.5345083,0.47666913,0.40440688,0.5898662,0.532033
0.5342584,0.4732678,0.5693272,0.61608,0.5634707,0.4401029,0.48361862,0.4030524,0.6424426,0.5932139
0.42238083,0.38678074,0.580858,0.6436402,0.53499734,0.43714395,0.46715906,0.43247125,0.63101447,0.57030207
0.3712654,0.39909464,0.5041734,0.5643534,0.48117757,0.52209955,0.4419403,0.47644353,0.5711226,0.46888027
0.42112675,0.48856178,0.4188366,0.41422,0.4210694,0.6062177,0.45030037,0.5206265,0.498597,0.3916679
0.56052804,0.5743159,0.41613784,0.36485392,0.41330191,0.62365615,0.51573515,0.5512315,0.47411618,0.41416836
0.64846283,0.58242863,0.5063346,0.442208,0.46468213,0.58182085,0.5836668,0.58033663,0.4825661,0.5362173
0.65138113,0.51217616,0.61066526,0.58338326,0.5239888,0.4954179,0.59637946,0.6102058,0.47869727,0.6368363
0.5796136,0.43601784,0.64833295,0.6459699,0.5402154,0.4206693,0.5450602,0.62636083,0.44876483,0.6539184
0.43385044,0.44232374,0.6179859,0.62566024,0.5216865,0.41155663,0.4695846,0.6170996,0.4308612,0.6023397
0.35263136,0.5279473,0.51117784,0.54371107,0.4959382,0.46277678,0.44850412,0.5697882,0.46689588,0.4977681
0.36586818,0.59629136,0.4040927,0.44268757,0.4856481,0.5394679,0.49006963,0.48765483,0.5387307,0.40808594
0.46331233,0.5834077,0.38659638,0.40918177,0.490874,0.58418053,0.5345249,0.4261657,0.58199877,0.38373283
0.593131,0.4921071,0.44245592,0.44627747,0.50176966,0.5711868,0.5359941,0.41381136,0.55616105,0.41419226
0.64742357,0.4181854,0.5324742,0.520564,0.51485336,0.50617385,0.5075219,0.43654707,0.47517574,0.5090699
0.619248,0.431218,0.5980033,0.57108206,0.5455056,0.4157721,0.50503147,0.46399838,0.42008778,0.6123449
0.5073954,0.5158358,0.6051073,0.5787639,0.5786416,0.3721788,0.5540423,0.48300982,0.45407853,0.6513904
0.39677778,0.60138595,0.56624603,0.5609663,0.5868508,0.38526717,0.60191834,0.51630974,0.5634394,0.6337475
0.38028532,0.62344277,0.5205433,0.5230171,0.5606807,0.46348575,0.60281265,0.5647787,0.63213414,0.5597261
0.45245105,0.5802807,0.48653704,0.4821483,0.510009,0.6002275,0.555576,0.59474,0.62001884,0.43764815
0.5661818,0.49187657,0.47094756,0.45239386,0.48393396,0.67215025,0.49336326,0.57699454,0.52382416,0.35550594
0.6234562,0.4352475,0.46629825,0.44889542,0.49910244,0.6719715,0.45685264,0.49281567,0.40946102,0.35342908
0.6034372,0.46153975,0.46524456,0.47389123,0.5168901,0.60697114,0.45253554,0.4075472,0.38572085,0.42143583
0.51943845,0.5426062,0.46669722,0.4974433,0.5190019,0.47263578,0.45541653,0.40837488,0.45953217,0.5525342
0.44810617,0.5949082,0.5011362,0.51198477,0.51397395,0.38687977,0.44168594,0.5119804,0.5794747,0.6414335
0.47500196,0.58251107,0.56518936,0.5215222,0.5118625,0.40963635,0.421609,0.6211476,0.63655496,0.64854324
0.5759997,0.4927341,0.611472,0.5384695,0.5099113,0.50535005,0.4435478,0.65233773,0.6235672,0.575071
0.6346517,0.3861698,0.61316055,0.56819034,0.48621193,0.5905521,0.54642636,0.6163353,0.5773803,0.45611688
0.62902635,0.3613472,0.5695064,0.5890254,0.42670706,0.6149497,0.6435167,0.527748,0.533955,0.42525402
0.57151747,0.4344999,0.47957683,0.57820463,0.385346,0.5798452,0.6707166,0.46332553,0.51111823,0.5090061
0.47999004,0.5874384,0.40808234,0.5090268,0.39793348,0.4981743,0.6464416,0.47923186,0.5091094,0.5972658
0.40686366,0.6665376,0.40681282,0.41304028,0.4907765,0.42961782,0.56938815,0.53972566,0.5103518,0.6157091
0.40282387,0.6571667,0.47420147,0.3768572,0.61922944,0.43102744,0.43985468,0.5812198,0.49745658,0.55734
0.4672334,0.55160975,0.56819797,0.4138942,0.67100304,0.48868152,0.3639016,0.5782657,0.453206,0.4500851
0.54306537,0.39945385,0.61229825,0.51787084,0.65548885,0.54558945,0.37131742,0.5158516,0.39123246,0.379399
0.5611672,0.36061645,0.5855156,0.6092511,0.5688641,0.56379867,0.44086054,0.40922666,0.3632924,0.37869412
0.5104775,0.43381032,0.48012757,0.6327909,0.42724216,0.5321497,0.541996,0.36414924,0.39374763,0.4478853
0.45538282,0.573993,0.38345966,0.5898927,0.37621072,0.4812784,0.6125139,0.39545664,0.52552176,0.5602
0.45817724,0.6489579,0.38603035,0.49202827,0.43871567,0.46132854,0.62827134,0.49315393,0.64832413,0.62555265
0.5090224,0.64554137,0.50204504,0.43132302,0.5498883,0.48932496,0.60264003,0.5971319,0.68228835,0.61729014
0.5618953,0.58223134,0.62286586,0.4779587,0.6109419,0.556909,0.5360853,0.63752675,0.6524492,0.549377
0.57924795,0.484087,0.6571486,0.5779943,0.5975712,0.61103755,0.4554876,0.6237845,0.5330401,0.47091523
0.5608633,0.41314992,0.6191991,0.62891483,0.5161259,0.61552316,0.43186447,0.5629214,0.38401443,0.43489036
0.54281235,0.39053893,0.4997628,0.6102701,0.42574283,0.562154,0.47696444,0.46778935,0.34339505,0.42810577
0.55630684,0.39548367,0.38720647,0.5029683,0.42107886,0.47077918,0.5413416,0.4174567,0.38626626,0.4287377
0.58976126,0.42754537,0.38624847,0.38483348,0.50743604,0.40986675,0.55049837,0.43877417,0.5119879,0.4468816
0.60675126,0.51561195,0.49102408,0.36459255,0.5972917,0.4063151,0.4885865,0.5038704,0.623653,0.5157147
0.593421,0.6231086,0.60371536,0.44438773,0.621748,0.44622812,0.41228613,0.5602349,0.65254664,0.62010485
